Approximate Location,Poverty,PM2.5,Asthma,Area Type
Los Angeles,45.7,12.09098712,28.23,Inner LA
Whittier,14.1,11.94992005,38.5,Inner LA
Santa Clarita,43.3,10.31515413,42.71,Outer LA
Unincorporated Los Angeles County area,20.8,12.17170059,21.1,Outer LA
Los Angeles,23.0,11.23485105,37.69,Inner LA
La Verne,24.6,12.63237406,38.09,Inner LA
Los Angeles,13.6,12.57915137,47.39,Inner LA
Beverly Hills,22.3,11.70232612,32.35,Inner LA
Los Angeles,21.0,11.80268144,30.14,Inner LA
Unincorporated Los Angeles County area,38.7,8.595110887,51.72,Outer LA
Santa Monica,27.7,11.66972548,31.56,Inner LA
Culver City,10.0,11.76395685,43.84,Inner LA
Los Angeles,34.0,11.7676418,26.71,Inner LA
Los Angeles,30.0,11.97058361,22.71,Inner LA
Los Angeles,15.3,11.45456864,45.24,Inner LA
Long Beach,21.4,11.5027302,26.39,Inner LA
Lancaster,31.2,7.519026611,58.02,Outer LA
Los Angeles,18.2,11.80798017,34.49,Inner LA
Downey,25.3,12.0635633,42.47,Inner LA
Los Angeles,29.0,11.66040963,34.49,Inner LA
Covina,25.3,12.16655034,31.94,Inner LA
La Mirada,16.7,11.96607247,37.42,Inner LA
Cerritos,8.7,11.74318761,31.69,Inner LA
East Whittier,22.6,11.91305039,41.88,Inner LA
Lomita,18.7,11.84918524,54.89,Inner LA
San Dimas,25.7,12.35028538,40.67,Inner LA
Glendale,25.8,11.71897407,20.6,Inner LA
Los Angeles,24.3,10.78997184,54.03,Inner LA
Los Angeles,34.6,11.70185673,47.69,Inner LA
Lakewood,18.6,11.66104793,103.58,Inner LA
Long Beach,13.7,11.48846564,17.66,Inner LA
Diamond Bar,15.2,12.24062072,27.84,Inner LA
Temple City,39.8,11.85364089,25.25,Inner LA
Monterey Park,12.0,12.01896111,31.7,Inner LA
Walnut,14.2,12.22400423,26.46,Inner LA
Pasadena,17.8,11.34519887,26.37,Inner LA
Los Angeles,33.6,11.67264265,35.21,Inner LA
Long Beach,16.6,11.6427648,23.8,Inner LA
Monterey Park,42.2,11.99862755,22.16,Inner LA
Los Angeles,21.9,11.65999433,22.93,Inner LA
Los Angeles,35.2,11.62562194,43.33,Inner LA
Los Angeles,11.2,11.09057903,36.52,Inner LA
West Hollywood,21.8,11.70551642,22.83,Inner LA
Santa Monica,17.4,11.69101747,33.5,Inner LA
Santa Clarita,23.6,9.888472175,45.2,Outer LA
Santa Monica,20.7,11.69434868,46.4,Inner LA
Calabasas,6.5,10.56399928,23.62,Inner LA
Long Beach,31.7,11.60712094,53.57,Inner LA
Temple City,24.8,11.71494516,24.78,Inner LA
West Covina,23.8,12.15935651,43.29,Inner LA
Los Angeles,20.8,11.73555866,31.31,Inner LA
Los Angeles,43.0,12.12928682,23.34,Inner LA
La Mirada,17.6,11.96890619,33.05,Inner LA
South Whittier,20.1,11.9269475,54.86,Inner LA
Los Angeles,15.9,12.0137843,40.2,Inner LA
Los Angeles,38.5,11.72153182,24.87,Inner LA
Whittier,13.1,11.93821092,46.15,Inner LA
